STIGID,VulnID
ESXI-80-000005,V-258728
ESXI-80-000006,V-258729
ESXI-80-000008,V-258730
ESXI-80-000010,V-258731
ESXI-80-000014,V-258732
ESXI-80-000015,V-258733
ESXI-80-000035,V-258734
ESXI-80-000043,V-258735
ESXI-80-000047,V-258736
ESXI-80-000049,V-258737
ESXI-80-000052,V-258738
ESXI-80-000068,V-258739
ESXI-80-000085,V-258740
ESXI-80-000094,V-258741
ESXI-80-000111,V-258742
ESXI-80-000113,V-258743
ESXI-80-000114,V-258744
ESXI-80-000124,V-258745
ESXI-80-000133,V-258746
ESXI-80-000145,V-258747
ESXI-80-000160,V-258748
ESXI-80-000161,V-258749
ESXI-80-000187,V-258750
ESXI-80-000189,V-258751
ESXI-80-000191,V-258752
ESXI-80-000192,V-258753
ESXI-80-000193,V-258754
ESXI-80-000194,V-258755
ESXI-80-000195,V-258756
ESXI-80-000196,V-258757
ESXI-80-000198,V-258758
ESXI-80-000199,V-258759
ESXI-80-000201,V-258760
ESXI-80-000202,V-258761
ESXI-80-000204,V-258762
ESXI-80-000207,V-258763
ESXI-80-000209,V-258764
ESXI-80-000210,V-258765
ESXI-80-000211,V-258766
ESXI-80-000212,V-258767
ESXI-80-000213,V-258768
ESXI-80-000214,V-258769
ESXI-80-000215,V-258770
ESXI-80-000216,V-258771
ESXI-80-000217,V-258772
ESXI-80-000218,V-258773
ESXI-80-000219,V-258774
ESXI-80-000220,V-258775
ESXI-80-000221,V-258776
ESXI-80-000222,V-258777
ESXI-80-000223,V-258778
ESXI-80-000224,V-258779
ESXI-80-000225,V-258780
ESXI-80-000226,V-258781
ESXI-80-000227,V-258782
ESXI-80-000228,V-258783
ESXI-80-000229,V-258784
ESXI-80-000230,V-258785
ESXI-80-000231,V-258786
ESXI-80-000232,V-258787
ESXI-80-000233,V-258788
ESXI-80-000234,V-258789
ESXI-80-000235,V-258790
ESXI-80-000236,V-258791
ESXI-80-000237,V-258792
ESXI-80-000238,V-258793
ESXI-80-000239,V-258794
ESXI-80-000240,V-258795
ESXI-80-000241,V-258796
ESXI-80-000243,V-258797
ESXI-80-000244,V-258798
ESXI-80-000245,V-258799
ESXI-80-000246,V-258800
ESXI-80-000247,V-265974
ESXI-80-000248,V-265975
ESXI-80-000249,V-265976
ESXI-80-000250,V-265977
VCSA-80-000023,V-258905
VCSA-80-000024,V-258906
VCSA-80-000034,V-258907
VCSA-80-000057,V-258908
VCSA-80-000059,V-258909
VCSA-80-000060,V-258910
VCSA-80-000069,V-258911
VCSA-80-000070,V-258912
VCSA-80-000071,V-258913
VCSA-80-000072,V-258914
VCSA-80-000073,V-258915
VCSA-80-000074,V-258916
VCSA-80-000077,V-258917
VCSA-80-000079,V-258918
VCSA-80-000080,V-258919
VCSA-80-000089,V-258920
VCSA-80-000095,V-258921
VCSA-80-000110,V-258922
VCSA-80-000123,V-258923
VCSA-80-000145,V-258924
VCSA-80-000148,V-258925
VCSA-80-000150,V-258926
VCSA-80-000158,V-258927
VCSA-80-000195,V-258928
VCSA-80-000196,V-258929
VCSA-80-000248,V-258930
VCSA-80-000253,V-258931
VCSA-80-000265,V-258932
